Date,Daily_Mean_PM10_Concentration,UNITS,DAILY_AQI_VALUE,Site_Name,COUNTY,Daily_Max_1-hour_NO2_Concentration,Daily_Max_8-hour_Ozone_Concentration,Daily_Mean_PM2.5_Concentration,Daily_Max_8-hour_CO_Concentration,Daily_Max_1-hour_SO2_Concentration
10/29/2018,20.0,ug/m3 SC,19,San Francisco,San Francisco,,,,,
11/22/2018,8.0,ug/m3 SC,7,San Francisco,San Francisco,,,,,
12/04/2018,19.0,ug/m3 SC,18,San Francisco,San Francisco,,,,,
12/16/2018,8.0,ug/m3 SC,7,San Francisco,San Francisco,,,,,
12/28/2018,12.0,ug/m3 SC,11,San Francisco,San Francisco,,,,,
01/01/2018,,ppb,28,Oakland West,Alameda,30.5,,,,
01/02/2018,,ppb,45,Oakland West,Alameda,48.8,,,,
01/03/2018,,ppb,45,Oakland West,Alameda,48.4,,,,
01/04/2018,,ppb,27,Oakland West,Alameda,29.6,,,,
01/05/2018,,ppb,26,Oakland West,Alameda,28.4,,,,
01/06/2018,,ppb,26,Oakland West,Alameda,28.9,,,,
01/07/2018,,ppb,22,Oakland West,Alameda,23.0,,,,
01/08/2018,,ppb,29,Oakland West,Alameda,31.7,,,,
01/09/2018,,ppb,20,Oakland West,Alameda,21.0,,,,
01/10/2018,,ppb,34,Oakland West,Alameda,36.5,,,,
01/11/2018,,ppb,31,Oakland West,Alameda,33.1,,,,
01/12/2018,,ppb,25,Oakland West,Alameda,27.8,,,,
01/13/2018,,ppb,22,Oakland West,Alameda,23.8,,,,
01/14/2018,,ppb,22,Oakland West,Alameda,23.0,,,,
01/15/2018,,ppb,19,Oakland West,Alameda,20.8,,,,
01/18/2018,,ppb,21,Oakland West,Alameda,22.6,,,,
01/19/2018,,ppb,31,Oakland West,Alameda,33.4,,,,
01/20/2018,,ppb,25,Oakland West,Alameda,27.8,,,,
01/21/2018,,ppb,24,Oakland West,Alameda,25.0,,,,
01/22/2018,,ppb,19,Oakland West,Alameda,20.8,,,,
01/23/2018,,ppb,28,Oakland West,Alameda,30.8,,,,
01/24/2018,,ppb,25,Oakland West,Alameda,27.9,,,,
01/25/2018,,ppb,34,Oakland West,Alameda,36.6,,,,
01/26/2018,,ppb,28,Oakland West,Alameda,30.9,,,,
01/27/2018,,ppb,27,Oakland West,Alameda,29.7,,,,
01/28/2018,,ppb,25,Oakland West,Alameda,26.3,,,,
01/29/2018,,ppb,36,Oakland West,Alameda,38.3,,,,
01/30/2018,,ppb,33,Oakland West,Alameda,35.0,,,,
01/31/2018,,ppb,35,Oakland West,Alameda,37.8,,,,
02/01/2018,,ppb,36,Oakland West,Alameda,38.4,,,,
02/02/2018,,ppb,33,Oakland West,Alameda,35.5,,,,
02/03/2018,,ppb,32,Oakland West,Alameda,34.5,,,,
02/04/2018,,ppb,29,Oakland West,Alameda,31.2,,,,
02/05/2018,,ppb,34,Oakland West,Alameda,36.4,,,,
02/06/2018,,ppb,42,Oakland West,Alameda,45.2,,,,
02/07/2018,,ppb,43,Oakland West,Alameda,46.9,,,,
02/08/2018,,ppb,42,Oakland West,Alameda,45.7,,,,
02/09/2018,,ppb,25,Oakland West,Alameda,27.5,,,,
02/10/2018,,ppb,23,Oakland West,Alameda,24.1,,,,
02/11/2018,,ppb,29,Oakland West,Alameda,31.7,,,,
02/12/2018,,ppb,28,Oakland West,Alameda,30.4,,,,
02/13/2018,,ppb,39,Oakland West,Alameda,41.7,,,,
02/14/2018,,ppb,39,Oakland West,Alameda,41.6,,,,
02/15/2018,,ppb,34,Oakland West,Alameda,36.2,,,,
02/16/2018,,ppb,34,Oakland West,Alameda,36.1,,,,
02/17/2018,,ppb,30,Oakland West,Alameda,32.6,,,,
02/18/2018,,ppb,9,Oakland West,Alameda,10.0,,,,
02/19/2018,,ppb,8,Oakland West,Alameda,8.3,,,,
02/20/2018,,ppb,30,Oakland West,Alameda,32.6,,,,
02/21/2018,,ppb,27,Oakland West,Alameda,29.9,,,,
02/22/2018,,ppb,28,Oakland West,Alameda,30.6,,,,
02/23/2018,,ppb,34,Oakland West,Alameda,36.3,,,,
02/24/2018,,ppb,31,Oakland West,Alameda,33.9,,,,
02/25/2018,,ppb,21,Oakland West,Alameda,22.4,,,,
02/26/2018,,ppb,16,Oakland West,Alameda,17.0,,,,
