,index,Name,Lat,Lon,Date
0,59,241 Fire,33.7626,-117.7274,2015-07-13
1,73,3-11 Fire,41.29226,-121.17211699999999,2015-07-23
2,74,3-12 Fire,40.856421999999995,-121.101623,2015-07-23
3,113,36 Fire,40.3506868,-121.77867990000001,2015-08-08
4,93,Advance Fire,36.49845,-118.9009,2015-07-30
5,98,Anza Fire,33.5736,-116.5387,2015-08-10
6,53,Ascot Fire,38.1029,-122.1578,2015-07-10
7,16,Bald Fire,41.1513,-123.8292,2015-06-10
8,71,Baxter Fire,38.9361,-121.1548,2015-07-22
9,67,Betabel Fire,36.8727,-121.5681,2015-07-20
10,89,Big Creek Fire,37.823,-120.15643999999999,2015-07-29
11,50,Black Fire,39.8448,-122.3638,2015-07-04
13,83,Buck Fire,40.1093,-123.774,2015-07-28
14,138,Butte Fire,38.32974,-120.70418000000001,2015-09-09
15,84,Cabin Fire,36.24,-118.54,2015-07-19
16,37,Calgrove Fire ,34.361007,-118.535793,2015-06-24
17,136,Center Fire,40.400196,-120.553075,2015-09-09
18,19,Chiles Fire,38.5287,-122.3415,2015-06-16
19,88,China Fire,40.415108000000004,-122.439939,2015-07-29
20,152,Cienega Fire,36.70854,-121.32733999999999,2015-10-12
21,26,Cook Fire,39.2688,-121.26471000000001,2015-06-18
22,60,Cooley Fire,41.8048,-122.5029,2015-07-13
23,29,Corrine Fire,37.165766999999995,-119.52394299999999,2015-06-18
24,40,Covelo Fire,39.7806004,-123.24821399999999,2015-06-28
25,137,Creek Fire,40.400196,-120.553075,2015-09-09
26,119,Cuesta Fire,35.3477,-120.6269,2015-08-16
27,75,Cutca Fire,33.383889,-116.86861100000002,2015-07-24
28,112,De Luz Fire,33.4115972,-117.2886249,2015-08-09
29,56,Deer Fire,35.7183,-121.0157,2015-07-10
30,128,Democrat Fire,40.724897999999996,-122.96173999999999,2015-08-25
31,31,Dixie Fire,40.875667,-121.033667,2015-06-19
32,111,Dodge Fire,40.938,-120.105,2015-08-03
33,69,Dorris Fire,41.999340999999994,-121.891226,2015-07-21
35,102,Fern Fire,40.67868,-121.93243999999999,2015-08-02
36,6,Forebay Fire,37.08312,-121.06963,2015-05-11
37,21,Fork Fire,40.0133,-122.552,2015-06-17
38,105,Francis Fire,39.33303,-121.18735,2015-08-03
39,100,Frog Fire,41.398999999999994,-121.39200000000001,2015-07-30
40,153,Gibraltar Fire,34.4828,-119.63216000000001,2015-10-29
41,123,Grade Fire,38.831478000000004,-122.53428000000001,2015-08-24
42,5,Highway Fire,33.884313,-117.64275900000001,2015-04-18
